"candidate","Party","Votes","State","const","winner"
"OM PARKASH JAKHU","Independent",699,"Punjab","Hoshiarpur",0
"PREM SINGH CHANDUMAJRA","Shiromani Akali Dal",347394,"Punjab","Anandpur Sahib",1
"AMBIKA SONI","Indian National Congress",323697,"Punjab","Anandpur Sahib",0
"HIMMAT SINGH SHERGILL","Aam Aadmi Party",306008,"Punjab","Anandpur Sahib",0
"K.S.MAKHAN","Bahujan Samaj Party",69124,"Punjab","Anandpur Sahib",0
"BALBIR SINGH JADLA","Communist Party of India  (Marxist)",10483,"Punjab","Anandpur Sahib",0
"None of the Above","None of the Above",5937,"Punjab","Anandpur Sahib",0
"BALJIT KAUR","Independent",4250,"Punjab","Anandpur Sahib",0
"FAQIR CHAND KARIHA","Independent",3869,"Punjab","Anandpur Sahib",0
"DALJIT SINGH","Independent",2713,"Punjab","Anandpur Sahib",0
"DAVINDER KUMAR VERMA","Independent",1995,"Punjab","Anandpur Sahib",0
"GURSHARN SINGH PANESAR","Independent",1943,"Punjab","Anandpur Sahib",0
"JASWANT SINGH MANN","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",1706,"Punjab","Anandpur Sahib",0
"MANDEEP SINGH BITTU","Independent",1427,"Punjab","Anandpur Sahib",0
"HARCHARAN SINGH","Independent",1423,"Punjab","Anandpur Sahib",0
"NAVNEET CHAUTALA","Independent",1307,"Punjab","Anandpur Sahib",0
"GURMEET SINGH","Independent",1010,"Punjab","Anandpur Sahib",0
"RESHAM KAHLON","Bahujan Sangharshh Dal",837,"Punjab","Anandpur Sahib",0
"GURNAM SINGH","Independent",722,"Punjab","Anandpur Sahib",0
"RAMESH RANI PARJAPATI","Bahujan Mukti Party",718,"Punjab","Anandpur Sahib",0
"RAVNEET SINGH BITTU","Indian National Congress",300459,"Punjab","Ludhiana",1
"HARVINDER SINGH PHOOLKA","Aam Aadmi Party",280750,"Punjab","Ludhiana",0
"MANPREET SINGH AYALI","Shiromani Akali Dal",256590,"Punjab","Ludhiana",0
"SIMARJEET SINGH BAINS","Independent",210917,"Punjab","Ludhiana",0
"NAVJOT SINGH MANDAIR","Bahujan Samaj Party",8317,"Punjab","Ludhiana",0
"RAJIV KUMAR KALRA","Independent",4653,"Punjab","Ludhiana",0
"GURDEEP SINGH KAHLON","Independent",4509,"Punjab","Ludhiana",0
"SUKHWINDER SINGH SEKHON","Communist Party of India  (Marxist)",4167,"Punjab","Ludhiana",0
"SIMERJIT SINGH","Independent",3980,"Punjab","Ludhiana",0
"JASWINDER SINGH BAINS","Independent",3238,"Punjab","Ludhiana",0
"None of the Above","None of the Above",3220,"Punjab","Ludhiana",0
"NAVPREET SINGH BEDI","Independent",3144,"Punjab","Ludhiana",0
"AKSHAYBAR NATH MISHRA","Janata Dal  (United)",2925,"Punjab","Ludhiana",0
"MOHD. NASEEM ANSARI","New All India Congress Party",1984,"Punjab","Ludhiana",0
"TARSEM SINGH BANGA","Independent",1934,"Punjab","Ludhiana",0
"JAI PARKASH JAIN","Independent",1519,"Punjab","Ludhiana",0
"KISHAN KUMAR SHARMA","Jammu & Kashmir National Panthers Party",1483,"Punjab","Ludhiana",0
"BITTU","Republican Party of India (A)",1286,"Punjab","Ludhiana",0
"HARI RAM SAHNI","All India Forward Bloc",1168,"Punjab","Ludhiana",0
"MOHAMMAD MAKSOOD ANSARI","Bahujan Mukti Party",1111,"Punjab","Ludhiana",0
"RAJ KUMAR ATWAL","Independent",1089,"Punjab","Ludhiana",0
"DARSHAN SINGH","Shivsena",1028,"Punjab","Ludhiana",0
"KULWINDER PAL SINGH","Independent",986,"Punjab","Ludhiana",0
"HARINDER SINGH KHALSA","Aam Aadmi Party",367293,"Punjab","Fatehgarh Sahib",1
"SADHU SINGH","Indian National Congress",313149,"Punjab","Fatehgarh Sahib",0
"KULWANT SINGH","Shiromani Akali Dal",312815,"Punjab","Fatehgarh Sahib",0
"SARABJEET SINGH","Bahujan Samaj Party",12683,"Punjab","Fatehgarh Sahib",0
"None of the Above","None of the Above",4005,"Punjab","Fatehgarh Sahib",0
"DHARAM SINGH","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",3173,"Punjab","Fatehgarh Sahib",0
"LACHHMAN SINGH S/O S.SAROOP SINGH","Independent",2852,"Punjab","Fatehgarh Sahib",0
"HARPREET SINGH","Bahujan Mukti Party",2352,"Punjab","Fatehgarh Sahib",0
"NIRMAL SINGH","Nationalist Congress Party",2149,"Punjab","Fatehgarh Sahib",0
"LACHHMAN SINGH S/O S.GULZAR SINGH","Independent",2141,"Punjab","Fatehgarh Sahib",0
"GURDEEP SINGH","Inqalab Vikas Dal",1930,"Punjab","Fatehgarh Sahib",0
"LAKHVIR SINGH","Jammu & Kashmir National Panthers Party",1733,"Punjab","Fatehgarh Sahib",0
"RANJIT SINGH","Independent",1679,"Punjab","Fatehgarh Sahib",0
"PARAMJIT SINGH","Independent",1266,"Punjab","Fatehgarh Sahib",0
"MANPREET SINGH","Independent",886,"Punjab","Fatehgarh Sahib",0
"AVTAR SINGH","Independent",848,"Punjab","Fatehgarh Sahib",0
"PROF. SADHU SINGH","Aam Aadmi Party",450751,"Punjab","Faridkot",1
"PARAMJIT KAUR GULSHAN","Shiromani Akali Dal",278235,"Punjab","Faridkot",0
"JOGINDER SINGH","Indian National Congress",251222,"Punjab","Faridkot",0
"KASHMIR SINGH","Communist Party of India",14573,"Punjab","Faridkot",0
"SANT RAM","Bahujan Samaj Party",8282,"Punjab","Faridkot",0
"None of the Above","None of the Above",3816,"Punjab","Faridkot",0
"SATPAL SINGH","Indian Krantikari Lehar",3680,"Punjab","Faridkot",0
"JOGINDER SINGH S/O KESAR SINGH","Independent",2667,"Punjab","Faridkot",0
"REENA KUMARI","Independent",2473,"Punjab","Faridkot",0
"MANGAT RAM MANGA","Shivsena",2213,"Punjab","Faridkot",0
"SEEMA RANI","Independent",1726,"Punjab","Faridkot",0
"JASVEER SINGH","Independent",1693,"Punjab","Faridkot",0
"PARAMJEET KAUR W/O GURPREET SINGH","Independent",1623,"Punjab","Faridkot",0
"DARSHAN SINGH","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",1605,"Punjab","Faridkot",0
"GURCHARAN SINGH","Republican Party of India",1531,"Punjab","Faridkot",0
"MOTI LAL","Bharatiya Sant Mat Party",1512,"Punjab","Faridkot",0
"JARNAIL SINGH","Nav Bharat Democratic Party",1358,"Punjab","Faridkot",0
"PARAMJIT KAUR W/O AMRIK SINGH","Bahujan Mukti Party",1159,"Punjab","Faridkot",0
"BADAL SINGH","Independent",1123,"Punjab","Faridkot",0
"GOBIND SINGH","Republican Party of India (A)",865,"Punjab","Faridkot",0
"SHER SINGH GHUBAYA","Shiromani Akali Dal",487932,"Punjab","Firozpur",1
"SUNIL JAKHAR","Indian National Congress",456512,"Punjab","Firozpur",0
"SATNAM PAUL KAMBOJ","Aam Aadmi Party",113412,"Punjab","Firozpur",0
"RAM KUMAR PARJAPAT","Bahujan Samaj Party",22274,"Punjab","Firozpur",0
"None of the Above","None of the Above",7685,"Punjab","Firozpur",0
"DHIAN SINGH MAND","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",3655,"Punjab","Firozpur",0
"RAJ GILL","Independent",3311,"Punjab","Firozpur",0
"MANOJ KUMAR MONGA","Independent",1896,"Punjab","Firozpur",0
"PANJAB SINGH KATWAL","Independent",1759,"Punjab","Firozpur",0
"RAJINDER BHATHEJA","Independent",1546,"Punjab","Firozpur",0
"CHANAN SINGH WATTU","Independent",1237,"Punjab","Firozpur",0
"GURJANT SINGH","Independent",1088,"Punjab","Firozpur",0
"PARAMJEET SINGH DESAL","Independent",976,"Punjab","Firozpur",0
"SWARAN SINGH","Independent",766,"Punjab","Firozpur",0
"SAMPURAN SINGH","Independent",682,"Punjab","Firozpur",0
"BALJINDER SINGH","Bharatiya Gaon Taj Dal",681,"Punjab","Firozpur",0
"HARSIMRAT KAUR BADAL","Shiromani Akali Dal",514727,"Punjab","Bathinda",1
"MANPREET SINGH BADAL S/O GURDAS SINGH","Indian National Congress",495332,"Punjab","Bathinda",0
"JASRAJ SINGH LONGIA","Aam Aadmi Party",87901,"Punjab","Bathinda",0
"KULDEEP SINGH","Bahujan Samaj Party",13732,"Punjab","Bathinda",0
"ASHISH","Independent",6626,"Punjab","Bathinda",0
"BHAGWANT SINGH SAMAON","Communist Party of India  (Marxist-Leninist)  (Liberation)",5984,"Punjab","Bathinda",0
"SATISH ARORA","Independent",5936,"Punjab","Bathinda",0
"None of the Above","None of the Above",4701,"Punjab","Bathinda",0
"MANPREET SINGH BADAL S/O GURDEV SINGH","Independent",4618,"Punjab","Bathinda",0
"SHAMINDER SINGH","Jammu & Kashmir National Panthers Party",4610,"Punjab","Bathinda",0
"GEETA RANI","Akhil Bharatiya Shivsena Rashtrawadi",4380,"Punjab","Bathinda",0
"SANJEEV KUMAR THAPAR","Independent",2833,"Punjab","Bathinda",0
"MAKHAN LAL","Bahujan Samaj Party  (Ambedkar)",2587,"Punjab","Bathinda",0
"VIJAY KUMAR","Independent",2258,"Punjab","Bathinda",0
"SWARAN SINGH","Independent",2077,"Punjab","Bathinda",0
"RAJINDER SINGH","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",1960,"Punjab","Bathinda",0
"NAVNEET","Shivsena",1893,"Punjab","Bathinda",0
"JAGDEEP SINGH GEHRI","Independent",1665,"Punjab","Bathinda",0
"BHUPESH KUMAR","Independent",1487,"Punjab","Bathinda",0
"GURDEEP SINGH","Indian Krantikari Lehar",1404,"Punjab","Bathinda",0
"GURMEET SINGH RANGHRETA","Punjab Labour Party",1386,"Punjab","Bathinda",0
"SUSHIL KUMAR JINDAL","Independent",1330,"Punjab","Bathinda",0
"JAGDISH RAI SHARMA","Nav Bharat Democratic Party",1248,"Punjab","Bathinda",0
"SUKHWINDER SINGH","Bahujan Mukti Party",1086,"Punjab","Bathinda",0
"DYAL CHAND","Independent",955,"Punjab","Bathinda",0
"SURESH KUMAR GOYAL","Janral Samaj Party",944,"Punjab","Bathinda",0
"KARTAR SINGH","Independent",916,"Punjab","Bathinda",0
"GURCHARAN SINGH","Independent",820,"Punjab","Bathinda",0
"JASPAL SINGH","Independent",703,"Punjab","Bathinda",0
"JAGDEEP SINGH","Independent",668,"Punjab","Bathinda",0
"BHAGWANT MANN","Aam Aadmi Party",533237,"Punjab","Sangrur",1
"SUKHDEV SINGH DHINDSA","Shiromani Akali Dal",321516,"Punjab","Sangrur",0
"VIJAY INDER SINGLA","Indian National Congress",181410,"Punjab","Sangrur",0
"MADAN BHATTI","Bahujan Samaj Party",8408,"Punjab","Sangrur",0
"SUKHDEV RAM SHARMA","Communist Party of India",6934,"Punjab","Sangrur",0
"JOTI DEVAJI ANSUIA","Independent",6831,"Punjab","Sangrur",0
"JIT SINGH","Communist Party of India (Marxist-Leninist) Red Star",5879,"Punjab","Sangrur",0
"BIJENDER","Independent",5395,"Punjab","Sangrur",0
"KARNAIL SINGH","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",4127,"Punjab","Sangrur",0
"JOGINDER SINGH AULAKH","Communist Party of India  (Marxist)",3315,"Punjab","Sangrur",0
"DHARAM SINGH","Independent",3292,"Punjab","Sangrur",0
"GURPREET SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",2746,"Punjab","Sangrur",0
"BHAGWANT SINGH","Independent",2334,"Punjab","Sangrur",0
"MAHMOOD AHMED THIND","Indian Union Muslim League",2261,"Punjab","Sangrur",0
"None of the Above","None of the Above",2188,"Punjab","Sangrur",0
"MANOJ KUMAR","Independent",1854,"Punjab","Sangrur",0
"KARAM SINGH","Independent",1599,"Punjab","Sangrur",0
"JASWANT SINGH","Bahujan Mukti Party",1556,"Punjab","Sangrur",0
"HARINDER KUMAR","Independent",1485,"Punjab","Sangrur",0
"SUKHDEV SINGH","Independent",1233,"Punjab","Sangrur",0
"GURDEEP SINGH","Democratic Bharatiya Samaj Party",1069,"Punjab","Sangrur",0
"PARVEEN KAUR","Independent",798,"Punjab","Sangrur",0
"DR. DHARAM VIRA GANDHI","Aam Aadmi Party",365671,"Punjab","Patiala",1
"PRENEET KAUR","Indian National Congress",344729,"Punjab","Patiala",0
"DEEPINDER SINGH DHILLON","Shiromani Akali Dal",340109,"Punjab","Patiala",0
"BIBI KAMALDEEP KAUR RAJOANA","Independent",15313,"Punjab","Patiala",0
"RAM SINGH DHIMAN","Bahujan Samaj Party",13014,"Punjab","Patiala",0
"NIRMAL SINGH DHALIWAL","Communist Party of India",8537,"Punjab","Patiala",0
"PARVESH BHATEJA","Independent",4915,"Punjab","Patiala",0
"PARVEEN KUMAR","Independent",4089,"Punjab","Patiala",0
"None of the Above","None of the Above",3008,"Punjab","Patiala",0
"MOHINDER PAL SINGH","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",2773,"Punjab","Patiala",0
"RAMISHER SINGH BILLA","Independent",2625,"Punjab","Patiala",0
"GURPREET SINGH","Bahujan Samaj Party  (Ambedkar)",2378,"Punjab","Patiala",0
"HARISH KUMAR","Shivsena",2325,"Punjab","Patiala",0
"GURBHEJ SINGH","Independent",2217,"Punjab","Patiala",0
"RANJIT KAUR","Bharatiya Gaon Taj Dal",2178,"Punjab","Patiala",0
"RAJINDER SINGH PAWAR","Independent",1625,"Punjab","Patiala",0
"DHARAM PAL","Independent",1271,"Punjab","Patiala",0
"RANDHIR SINGH","Bahujan Mukti Party",1234,"Punjab","Patiala",0
"RAVINDER SINGH","Bharatiya Sant Mat Party",1177,"Punjab","Patiala",0
"AMRIK SINGH","New All India Congress Party",936,"Punjab","Patiala",0
"LAKHWINDER SINGH MALHI","Independent",809,"Punjab","Patiala",0
"NIHALCHAND","Bharatiya Janata Party",658130,"Rajasthan","Ganganagar",1
"MASTER BHANWARLAL MEGHWAL","Indian National Congress",366389,"Rajasthan","Ganganagar",0
"SHIMLA DEVI NAYAK (ADVOCATE)","National Unionist Zamindara Party",106585,"Rajasthan","Ganganagar",0
"DR. BALKRISHAN BAWARI","Aam Aadmi Party",40016,"Rajasthan","Ganganagar",0
"PALARAM","Communist Party of India  (Marxist)",14944,"Rajasthan","Ganganagar",0
"DULICHAND MEGHWAL","Independent",11981,"Rajasthan","Ganganagar",0
"BALRAJ BAWARI","Independent",8788,"Rajasthan","Ganganagar",0
"None of the Above","None of the Above",6918,"Rajasthan","Ganganagar",0
"AMAR SINGH","Bahujan Mukti Party",6686,"Rajasthan","Ganganagar",0
"BALWANT SINGH HARIYALA","Bharatiya Sant Mat Party",5364,"Rajasthan","Ganganagar",0
"DR. PALUSKAR K. T.","Prabuddha Republican Party",5232,"Rajasthan","Ganganagar",0
"ADVOCATE KARTAR SINGH BAINS","All India Trinamool Congress",5025,"Rajasthan","Ganganagar",0
"TITAR SINGH","Independent",3924,"Rajasthan","Ganganagar",0
"OM PARKASH","Independent",3750,"Rajasthan","Ganganagar",0
"SUNIL BHADRAWAL","Lok Dal",3729,"Rajasthan","Ganganagar",0
"JASVINDER SINGH","Jai Maha Bharath Party",3395,"Rajasthan","Ganganagar",0
"KUMBHA RAM","Independent",3007,"Rajasthan","Ganganagar",0
"HETRAM","Rajasthan Vikas Party",2943,"Rajasthan","Ganganagar",0
"ARJUN RAM MEGHWAL","Bharatiya Janata Party",584932,"Rajasthan","Bikaner",1
"ER. SHANKAR PANNU","Indian National Congress",276853,"Rajasthan","Bikaner",0
"MANGILAL NAYAK","National Unionist Zamindara Party",16839,"Rajasthan","Bikaner",0
"DR. GAURI SHANKER DAABI","Aam Aadmi Party",14148,"Rajasthan","Bikaner",0
"None of the Above","None of the Above",13492,"Rajasthan","Bikaner",0
"BHANWAR LAL","Bahujan Samaj Party",11387,"Rajasthan","Bikaner",0
"JAGDISH KUMAR NAYAK","Independent",5164,"Rajasthan","Bikaner",0
"GOPAL BALMIKI","Independent",4398,"Rajasthan","Bikaner",0
"RAM RATAN MEGHWAL","Bahujan Mukti Party",2538,"Rajasthan","Bikaner",0
"RAHUL KASWAN","Bharatiya Janata Party",595756,"Rajasthan","Churu",1
"ABHINESH MAHARSHI","Bahujan Samaj Party",301017,"Rajasthan","Churu",0
"PRATAP SINGH","Indian National Congress",176912,"Rajasthan","Churu",0
"KRISHAN KUMAR SARAN","Aam Aadmi Party",13977,"Rajasthan","Churu",0
"None of the Above","None of the Above",11293,"Rajasthan","Churu",0
"INDRASINGH JAT","Communist Party of India  (Marxist)",10778,"Rajasthan","Churu",0
"SALIM GUJAR","Independent",4018,"Rajasthan","Churu",0
"GORDHAN SARSWAT","All India Trinamool Congress",3991,"Rajasthan","Churu",0
"RAJPAL","Independent",3727,"Rajasthan","Churu",0
"AJAY KUMAR","Independent",2938,"Rajasthan","Churu",0
"SYOPAT RAM","Bharatiya Sant Mat Party",2330,"Rajasthan","Churu",0
"MOHAMMAD ALI KHAN","Bahujan Sangharshh Dal",2313,"Rajasthan","Churu",0
"TORURAM MEGHWAL","Bahujan Mukti Party",2054,"Rajasthan","Churu",0
"SANTOSH AHLAWAT","Bharatiya Janata Party",488182,"Rajasthan","Jhunjhunu",1
"RAJ BALA OLA","Indian National Congress",254347,"Rajasthan","Jhunjhunu",0
"DR. RAJKUMAR SHARMA","Independent",206288,"Rajasthan","Jhunjhunu",0
"RAJBALA","Independent",11740,"Rajasthan","Jhunjhunu",0
"RAHISA BANO","Bahujan Samaj Party",10423,"Rajasthan","Jhunjhunu",0
"GENERAL R S KADYAN","Aam Aadmi Party",10386,"Rajasthan","Jhunjhunu",0
"None of the Above","None of the Above",8038,"Rajasthan","Jhunjhunu",0
"URMILA","Megh Desham Party",5581,"Rajasthan","Jhunjhunu",0
"BHUDAR MAL","All India Trinamool Congress",2979,"Rajasthan","Jhunjhunu",0
"MAHABEER PRASAD KUMAWAT","Independent",2932,"Rajasthan","Jhunjhunu",0
"OM PRAKASH JHARODA","Communist Party of India  (Marxist-Leninist)  (Liberation)",2506,"Rajasthan","Jhunjhunu",0
"BHAN SINGH","Bharatiya Sant Mat Party",1885,"Rajasthan","Jhunjhunu",0
"PRAVEEN KUMAR","Independent",1178,"Rajasthan","Jhunjhunu",0
"SUMEDHANAND SARASWATI","Bharatiya Janata Party",499428,"Rajasthan","Sikar",1
"PRATAP SINGH JAT","Indian National Congress",260232,"Rajasthan","Sikar",0
"SUBHASH MAHARIA","Independent",188841,"Rajasthan","Sikar",0
"AMARA RAM","Communist Party of India  (Marxist)",53134,"Rajasthan","Sikar",0
"MAJOR SURENDRA KUMAR PUNIA","Aam Aadmi Party",15666,"Rajasthan","Sikar",0
"PRATAP SINGH","Independent",10666,"Rajasthan","Sikar",0
"None of the Above","None of the Above",7410,"Rajasthan","Sikar",0
"AJAYPAL","Independent",7036,"Rajasthan","Sikar",0
"SWAMI BHAGIRATH SINGH KHARRANTE BHADHADAR","Akhil Bharat Hindu Mahasabha",5387,"Rajasthan","Sikar",0
"DULI CHAND KUMAWAT","Independent",4375,"Rajasthan","Sikar",0
"GULAM NABI AZAD","Bahujan Samaj Party",4112,"Rajasthan","Sikar",0
"SURENDRA KUMAR PHULWARIYA","Independent",3633,"Rajasthan","Sikar",0
"KANHAIYA LAL BALAI","Independent",2169,"Rajasthan","Sikar",0
"RAMESH SHARMA","Bhartiya Party",1635,"Rajasthan","Sikar",0
"SATISH KUMAR SHARMA","Jago Party",1058,"Rajasthan","Sikar",0
"VIMAL INDORIA","Jai Maha Bharath Party",968,"Rajasthan","Sikar",0
"RAJYAVARDHAN SINGH RATHORE","Bharatiya Janata Party",632930,"Rajasthan","Jaipur Rural",1
"DR. C.P. JOSHI","Indian National Congress",300034,"Rajasthan","Jaipur Rural",0
"NAVIN PILANIA","National Peoples Party",31617,"Rajasthan","Jaipur Rural",0
"None of the Above","None of the Above",11533,"Rajasthan","Jaipur Rural",0
"KAMAL  KUMAR  GAUR","Independent",9480,"Rajasthan","Jaipur Rural",0
"ANIL KUMAR","Aam Aadmi Party",6917,"Rajasthan","Jaipur Rural",0
"AJAY KUMAR SHARMA","Jago Party",5774,"Rajasthan","Jaipur Rural",0
"DR. OM SINGH MEENA","Independent",4520,"Rajasthan","Jaipur Rural",0
"SHAYAM SINGH RATHORE","Lok Shakti",3722,"Rajasthan","Jaipur Rural",0
"TEK CHAND SONWAL","Ambedkarite Party of India",3047,"Rajasthan","Jaipur Rural",0
"DHIRAJ GURJAR","Samajwadi Party",1412,"Rajasthan","Jaipur Rural",0
"JAGDISH PRASAD","Lok Dal",1378,"Rajasthan","Jaipur Rural",0
"NARAYAN LAL PARIHAR","Bharat Nav Nirman Party",1327,"Rajasthan","Jaipur Rural",0
"RAMCHARAN BOHARA","Bharatiya Janata Party",863358,"Rajasthan","Jaipur",1
"DR. MAHESH JOSHI","Indian National Congress",324013,"Rajasthan","Jaipur",0
"DR. VIRENDRA SINGH","Aam Aadmi Party",55118,"Rajasthan","Jaipur",0
"D.K. (DEV KRISHAN) CHHANGANI","Communist Party of India",15597,"Rajasthan","Jaipur",0
"None of the Above","None of the Above",8345,"Rajasthan","Jaipur",0
"FAROOQ SHAH","Bahujan Samaj Party",5193,"Rajasthan","Jaipur",0
"HAFIZ KHAN WARASI","Independent",5020,"Rajasthan","Jaipur",0
"MUNNA DASS DABODIA","Independent",4856,"Rajasthan","Jaipur",0
"ANIL KUMAR SHARMA","Jago Party",4599,"Rajasthan","Jaipur",0
"RAM SINGH RAJ","Independent",2072,"Rajasthan","Jaipur",0
"PAWAN SINGH SHEKHAWAT","Independent",1987,"Rajasthan","Jaipur",0
"RAJU LAL BAIRWA","Ambedkarite Party of India",1899,"Rajasthan","Jaipur",0
"NEERU AGARWAL","National Unionist Zamindara Party",1566,"Rajasthan","Jaipur",0
"ABDUL AZIZ BHARTIYA","Rashtriya Ulama Council",1103,"Rajasthan","Jaipur",0
"DR. TANMAY","Indian Peoples Green Party",893,"Rajasthan","Jaipur",0
"IFTEKAR QURISHI","All India Forward Bloc",621,"Rajasthan","Jaipur",0
"KAILASH CHAND SAINI","Hindustan Janta Party",566,"Rajasthan","Jaipur",0
"CHAND NATH","Bharatiya Janata Party",642278,"Rajasthan","Alwar",1
"BHANWAR JITENDRA SINGH","Indian National Congress",358383,"Rajasthan","Alwar",0
"AZAD HUSAIN","Bahujan Samaj Party",19483,"Rajasthan","Alwar",0
"DR VIRENDRA VIDROHI","Aam Aadmi Party",8517,"Rajasthan","Alwar",0
"HARI SINGH SHARMA","Independent",3672,"Rajasthan","Alwar",0
"DR. DASHRATH KUMAR HINUNIA","Ambedkarite Party of India",3612,"Rajasthan","Alwar",0
"HARIPRASAD","Independent",3580,"Rajasthan","Alwar",0
"ARUN KUMAR ROOPAK","Naya Daur Party",3412,"Rajasthan","Alwar",0
"JAGDISH PRASAD BAIRWA","Independent",3390,"Rajasthan","Alwar",0
"KISHAN LAL","Independent",2572,"Rajasthan","Alwar",0
"None of the Above","None of the Above",2512,"Rajasthan","Alwar",0
"MURSHID AHMED","All India Trinamool Congress",2160,"Rajasthan","Alwar",0
"SURESH SHARMA","Jago Party",2104,"Rajasthan","Alwar",0
"VIRJANAND","Samajwadi Party",1845,"Rajasthan","Alwar",0
"RAMESH PANVAL","Independent",1227,"Rajasthan","Alwar",0
"KHAIM CHAND","Bharatiya Yuva Shakti",1187,"Rajasthan","Alwar",0
"KHOOBRAJ NEERAJ","Bahujan Mukti Party",702,"Rajasthan","Alwar",0
"CHAUDHARY NASRUDEEN TANWAR","Socialist Party (India)",662,"Rajasthan","Alwar",0
"MANGURAM SAIN","Akhil Bharatiya Congress Dal (Ambedkar)",566,"Rajasthan","Alwar",0
"NISHAR AHMED","Jai Maha Bharath Party",441,"Rajasthan","Alwar",0
"BAHADUR SINGH","Bharatiya Janata Party",579825,"Rajasthan","BHARATPUR",1
"DR.SURESH JATAV","Indian National Congress",334357,"Rajasthan","BHARATPUR",0
"MAHENDAR KUMAR JATAV","Bahujan Samaj Party",22090,"Rajasthan","BHARATPUR",0
"GOPAL PAHARIA","Aam Aadmi Party",7013,"Rajasthan","BHARATPUR",0
"None of the Above","None of the Above",5935,"Rajasthan","BHARATPUR",0
"AMAR CHAND POHIYA","Rajasthan Vikas Party",3969,"Rajasthan","BHARATPUR",0
"SHEETAL JATAV","Independent",2071,"Rajasthan","BHARATPUR",0
"VIMLA UMAR","All India Trinamool Congress",1792,"Rajasthan","BHARATPUR",0
"MAMRAJ","Independent",1787,"Rajasthan","BHARATPUR",0
"MADHURI PUSHKAR","Independent",1187,"Rajasthan","BHARATPUR",0
"LAKHAN SINGH","Indian Peoples Green Party",960,"Rajasthan","BHARATPUR",0
"PREM CHAND DHAMANI","Independent",835,"Rajasthan","BHARATPUR",0
"GHISU LAL","Independent",611,"Rajasthan","BHARATPUR",0
"MANOJ RAJORIA","Bharatiya Janata Party",402407,"Rajasthan","KARAULI-DHOLPUR",1
"LAKKHIRAM","Indian National Congress",375191,"Rajasthan","KARAULI-DHOLPUR",0
"G.R.BARUA","Bahujan Samaj Party",25150,"Rajasthan","KARAULI-DHOLPUR",0
"RAM SINGH","National Peoples Party",9458,"Rajasthan","KARAULI-DHOLPUR",0
"KAMAL SINGH","All India Trinamool Congress",7286,"Rajasthan","KARAULI-DHOLPUR",0
"None of the Above","None of the Above",5934,"Rajasthan","KARAULI-DHOLPUR",0
"LAXMIKANT","Independent",4767,"Rajasthan","KARAULI-DHOLPUR",0
"GHANSHYAM","Aam Aadmi Party",3726,"Rajasthan","KARAULI-DHOLPUR",0
"KISHOR KUMAR","Independent",3376,"Rajasthan","KARAULI-DHOLPUR",0
"KANCHAN BAI","Independent",3014,"Rajasthan","KARAULI-DHOLPUR",0
"RAMESH","Bharatiya Yuva Shakti",1629,"Rajasthan","KARAULI-DHOLPUR",0
"ASHOK KUMAR","Independent",1385,"Rajasthan","KARAULI-DHOLPUR",0
"PHOOLSINGH","Jago Party",951,"Rajasthan","KARAULI-DHOLPUR",0
"SHRELAL KHARE","Jai Maha Bharath Party",922,"Rajasthan","KARAULI-DHOLPUR",0
"DHANRAJ BAIRWA","Socialist Party (India)",745,"Rajasthan","KARAULI-DHOLPUR",0
"HARISH CHANDRA MEENA","Bharatiya Janata Party",315059,"Rajasthan","Dausa",1
"DR. KIRODI LAL","National Peoples Party",269655,"Rajasthan","Dausa",0
"NAMONARAIN MEENA","Indian National Congress",181272,"Rajasthan","Dausa",0
"SHIV PAL GURJAR","Independent",82549,"Rajasthan","Dausa",0
"BIMLA DEVI MEENA","Independent",20037,"Rajasthan","Dausa",0
"ANJU DEVI DHANKA","Independent",16935,"Rajasthan","Dausa",0
"CHANDU LAL MEENA (GEROTA)","Bahujan Samaj Party",15303,"Rajasthan","Dausa",0
"None of the Above","None of the Above",8410,"Rajasthan","Dausa",0
"DR. NASEEM GURJAR","Independent",5792,"Rajasthan","Dausa",0
"KHEMRAJ MEENA","Bharatiya Yuva Shakti",4297,"Rajasthan","Dausa",0
"DR. SANJEET KUMAR DHANKA","Aam Aadmi Party",3202,"Rajasthan","Dausa",0
"ANJALI BHADANA","Independent",3072,"Rajasthan","Dausa",0
"SURAJ BHAN DHANKA","Samajwadi Party",2357,"Rajasthan","Dausa",0
"DHARMI GHUNAWAT","Indian Peoples Green Party",1635,"Rajasthan","Dausa",0
"RUKMANI MEENA JHAKHIWAL","Socialist Party (India)",917,"Rajasthan","Dausa",0
"SUKHBIR SINGH JAUNAPURIA","Bharatiya Janata Party",548179,"Rajasthan","TONK-SAWAI MADHOPUR",1
"MOHAMMED AZHARUDDIN","Indian National Congress",412868,"Rajasthan","TONK-SAWAI MADHOPUR",0
"JAGMOHAN MEENA","National Peoples Party",14600,"Rajasthan","TONK-SAWAI MADHOPUR",0
