"candidate","Party","Votes","State","const","winner"
"M.NAGESWARA RAO","Independent",1301,"Andhra Pradesh","Malkajgiri",0
"VATTIKUTI RAMARAO GOUD","Independent",1032,"Andhra Pradesh","Malkajgiri",0
"M.T.VARUGHESE","Independent",1026,"Andhra Pradesh","Malkajgiri",0
"RAHUL PANDIT","Independent",899,"Andhra Pradesh","Malkajgiri",0
"PADURI SRINIVAS REDDY","Telangana Loksatta Party",803,"Andhra Pradesh","Malkajgiri",0
"B.VEERA HANUMANTHA REDDY","Independent",775,"Andhra Pradesh","Malkajgiri",0
"SATHYANARAYANA YAADAV PEDDIBOYINA","B.C.Bharata Desam Party",597,"Andhra Pradesh","Malkajgiri",0
"SUTHARAPU PADMAIAH","Andhra Pradesh Rashtra Samaikya Samithi Party",538,"Andhra Pradesh","Malkajgiri",0
"POLISETTY KRISHNA RAO","Independent",496,"Andhra Pradesh","Malkajgiri",0
"POTTURI TULASI DAS","Independent",411,"Andhra Pradesh","Malkajgiri",0
"BANDARU DATTATREYA","Bharatiya Janata Party",438271,"Andhra Pradesh","Secundrabad",1
"M.ANJAN KUMAR YADAV","Indian National Congress",183536,"Andhra Pradesh","Secundrabad",0
"NARLA MOHAN RAO","All India Majlis-E-Ittehadul Muslimeen",145120,"Andhra Pradesh","Secundrabad",0
"T.BHEEMSEN","Telangana Rashtra Samithi",143847,"Andhra Pradesh","Secundrabad",0
"SYED SAJID ALI","Yuvajana Sramika Rythu Congress Party",45187,"Andhra Pradesh","Secundrabad",0
"CHAYA RATAN MUSINIPALLY","Aam Aadmi Party",11184,"Andhra Pradesh","Secundrabad",0
"None of the Above","None of the Above",6572,"Andhra Pradesh","Secundrabad",0
"K. SRINIVASULU","Jai Samaikyandhra Party",3691,"Andhra Pradesh","Secundrabad",0
"KHAJA KHALID ANWAR","Bahujan Samaj Party",2863,"Andhra Pradesh","Secundrabad",0
"K.SAI KRISHNA MOHAN RAO","Indian Christian Secular Party",2603,"Andhra Pradesh","Secundrabad",0
"B.SUBRAMANYAM","Independent",2481,"Andhra Pradesh","Secundrabad",0
"SONU SARSAL VALMIKI","Telangana Communist Party of India",2311,"Andhra Pradesh","Secundrabad",0
"J.RAMULU","Revolutionary Socialist Party",2058,"Andhra Pradesh","Secundrabad",0
"B.DEEPAK KUMAR","Republican Party of India (Khobragade)",1813,"Andhra Pradesh","Secundrabad",0
"RAGHU DESHABOINA","Bahujan Mukti Party",1496,"Andhra Pradesh","Secundrabad",0
"AVULA RANGANAYAKULU","Independent",1144,"Andhra Pradesh","Secundrabad",0
"KLHAJA SIRAJUDDIN AZAZ","Majlis Markaz-e-Siyasee Party",959,"Andhra Pradesh","Secundrabad",0
"DR.N.S.UDAY KUMAR","Prem Janata Dal",928,"Andhra Pradesh","Secundrabad",0
"S. LAKSHMAN RAO","Independent",886,"Andhra Pradesh","Secundrabad",0
"DR.MALATHI LATHA EPPA","Jantantra Party",873,"Andhra Pradesh","Secundrabad",0
"ABDUS SATTAR MUJAHED","Akhil Bharatiya Muslim League (Secular)",809,"Andhra Pradesh","Secundrabad",0
"MOHD IMTIAZ HUSSAIN","Indian Union Muslim League",786,"Andhra Pradesh","Secundrabad",0
"ANANTH RAO GUNDEPALLY","Independent",779,"Andhra Pradesh","Secundrabad",0
"SHAKTHI SATYAVATHI","Pyramid Party of India",638,"Andhra Pradesh","Secundrabad",0
"CH. MURAHARI","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",554,"Andhra Pradesh","Secundrabad",0
"KUMAR CHOWDARY YADAV.G","Samaikyandhra Parirakshana Samithi",547,"Andhra Pradesh","Secundrabad",0
"KARANKOTE NARENDER","All India Forward Bloc",474,"Andhra Pradesh","Secundrabad",0
"SYED MADANI QUADRI","Independent",376,"Andhra Pradesh","Secundrabad",0
"MOHAMMED RIZWAN HUSSAIN","Independent",370,"Andhra Pradesh","Secundrabad",0
"MOHD ABUBAKAR PARWAIZ SIDDIQUI","Independent",322,"Andhra Pradesh","Secundrabad",0
"MICHAEL DANIEL OVELZ","Independent",291,"Andhra Pradesh","Secundrabad",0
"ASADUDDIN OWAISI","All India Majlis-E-Ittehadul Muslimeen",513868,"Andhra Pradesh","Hyderabad",1
"DR.BHAGAVANTH RAO","Bharatiya Janata Party",311414,"Andhra Pradesh","Hyderabad",0
"S KRISHNA REDDY","Indian National Congress",49310,"Andhra Pradesh","Hyderabad",0
"RASHID SHAREEF","Telangana Rashtra Samithi",37195,"Andhra Pradesh","Hyderabad",0
"BINGHI RAJASHEKAR","Pyramid Party of India",21796,"Andhra Pradesh","Hyderabad",0
"BODDU SAINATH REDDY","Yuvajana Sramika Rythu Congress Party",10743,"Andhra Pradesh","Hyderabad",0
"LUBNA SARWATH","Aam Aadmi Party",6118,"Andhra Pradesh","Hyderabad",0
"M A HABEEB","Independent",5992,"Andhra Pradesh","Hyderabad",0
"None of the Above","None of the Above",5013,"Andhra Pradesh","Hyderabad",0
"VENU GOPAL.P","Bahujan Samaj Party",3100,"Andhra Pradesh","Hyderabad",0
"SYED MUSTAFA MAHMOOD","Majlis Bachao Tahreek",2102,"Andhra Pradesh","Hyderabad",0
"S.KHAJA MOINUDDIN","All India Azaad Congress Party",1593,"Andhra Pradesh","Hyderabad",0
"SYED ABDUL GAFFER","Independent",740,"Andhra Pradesh","Hyderabad",0
"MD OSMAN","Independent",728,"Andhra Pradesh","Hyderabad",0
"SHAIK MOIN","Independent",626,"Andhra Pradesh","Hyderabad",0
"JAYA VINDHYALA","Socialist Party (India)",598,"Andhra Pradesh","Hyderabad",0
"N.MAHENDER SINGH","Nava Bharat National Party",485,"Andhra Pradesh","Hyderabad",0
"KONDA VISHWESHWAR REDDY","Telangana Rashtra Samithi",435077,"Andhra Pradesh","CHELVELLA",1
"PATLOLLA KARTIK REDDY","Indian National Congress",362054,"Andhra Pradesh","CHELVELLA",0
"TULLA VEERENDER","Telugu Desam",353203,"Andhra Pradesh","CHELVELLA",0
"CHAN PASHA","Akhil Bharatiya Muslim League (Secular)",56835,"Andhra Pradesh","CHELVELLA",0
"KONDA RAGHAVA REDDY","Yuvajana Sramika Rythu Congress Party",40135,"Andhra Pradesh","CHELVELLA",0
"G.MALLESHAM GOUD","Independent",24660,"Andhra Pradesh","CHELVELLA",0
"None of the Above","None of the Above",10018,"Andhra Pradesh","CHELVELLA",0
"SAMALA RAVINDAR","Bahujan Samaj Party",7732,"Andhra Pradesh","CHELVELLA",0
"REGATTE VENKAT REDDY","Aam Aadmi Party",7462,"Andhra Pradesh","CHELVELLA",0
"KUMMARI GIRI","Pyramid Party of India",5789,"Andhra Pradesh","CHELVELLA",0
"MD YUNUS MIYA","Marxist Communist Party of India (United)",2904,"Andhra Pradesh","CHELVELLA",0
"DR. P. SADHU SATYANADHAN","Indian Christian Secular Party",2545,"Andhra Pradesh","CHELVELLA",0
"SUTHARAPU PADMAIAH","Andhra Pradesh Rashtra Samaikya Samithi Party",2214,"Andhra Pradesh","CHELVELLA",0
"SANIKE RAM GOPAL YADAV","Independent",2058,"Andhra Pradesh","CHELVELLA",0
"DR.GOLLA RAMAIAH","Telangana Loksatta Party",1765,"Andhra Pradesh","CHELVELLA",0
"SYED HASHMATHULLAH QUADRI","Indian Union Muslim League",1411,"Andhra Pradesh","CHELVELLA",0
"AP JITHENDER REDDY","Telangana Rashtra Samithi",334228,"Andhra Pradesh","Mahbubnagar",1
"JAIPAL REDDY SUDINI","Indian National Congress",331638,"Andhra Pradesh","Mahbubnagar",0
"DR. JANARDHAN REDDY NAGAM","Bharatiya Janata Party",272791,"Andhra Pradesh","Mahbubnagar",0
"S.R.PREMAIAH","Pyramid Party of India",30388,"Andhra Pradesh","Mahbubnagar",0
"KADIRE KRISHNA","Bahujan Samaj Party",15779,"Andhra Pradesh","Mahbubnagar",0
"H.A. RAHMAN","Yuvajana Sramika Rythu Congress Party",9105,"Andhra Pradesh","Mahbubnagar",0
"None of the Above","None of the Above",9037,"Andhra Pradesh","Mahbubnagar",0
"IBRAHIM SYED","Independent",4549,"Andhra Pradesh","Mahbubnagar",0
"DR. CHANDRA SEKHAR. A","Independent",4033,"Andhra Pradesh","Mahbubnagar",0
"S. SHIVA SHANKAR","Independent",3252,"Andhra Pradesh","Mahbubnagar",0
"YELLAIAH NANDI","Indian National Congress",420075,"Andhra Pradesh","Nagarkurnool",1
"DR. MANDA JAGANNATH","Telangana Rashtra Samithi",403399,"Andhra Pradesh","Nagarkurnool",0
"BAKKANI NARSIMLU","Telugu Desam",183352,"Andhra Pradesh","Nagarkurnool",0
"BUDDULA SRINIVAS","Independent",54680,"Andhra Pradesh","Nagarkurnool",0
"MAREDU GOPAL","Yuvajana Sramika Rythu Congress Party",22985,"Andhra Pradesh","Nagarkurnool",0
"None of the Above","None of the Above",12388,"Andhra Pradesh","Nagarkurnool",0
"BAHADHUR SRINIVAS","Bahujan Samaj Party",12089,"Andhra Pradesh","Nagarkurnool",0
"GUTHA SUKHENDER REDDY","Indian National Congress",472093,"Andhra Pradesh","Nalgonda",1
"TERA CHINNAPA REDDY","Telugu Desam",278937,"Andhra Pradesh","Nalgonda",0
"DR. PALLA RAJESHWAR REDDY","Telangana Rashtra Samithi",260677,"Andhra Pradesh","Nalgonda",0
"MARRI NEHEMIAH","Independent",56259,"Andhra Pradesh","Nalgonda",0
"NANDYALA NARSIMHA REDDY","Communist Party of India  (Marxist)",54423,"Andhra Pradesh","Nalgonda",0
"GUNNAM NAGI REDDY","Yuvajana Sramika Rythu Congress Party",39385,"Andhra Pradesh","Nalgonda",0
"KUNDARAPU RAMESH","Bahujan Samaj Party",11517,"Andhra Pradesh","Nalgonda",0
"None of the Above","None of the Above",9305,"Andhra Pradesh","Nalgonda",0
"MANUPURI DAYA SAGAR","Pyramid Party of India",4495,"Andhra Pradesh","Nalgonda",0
"TEJAVATH BELLAIAH NAIK","Aam Aadmi Party",2308,"Andhra Pradesh","Nalgonda",0
"DR. BOORA NARSAIAH GOUD","Telangana Rashtra Samithi",448245,"Andhra Pradesh","Bhongir",1
"KOMATIREDDY RAJGOPAL REDDY","Indian National Congress",417751,"Andhra Pradesh","Bhongir",0
"INDRASENA REDDY NALLU","Bharatiya Janata Party",183217,"Andhra Pradesh","Bhongir",0
"CHERUPALLY SEETHARAMULU","Communist Party of India  (Marxist)",54040,"Andhra Pradesh","Bhongir",0
"VARIKUPPALA KRISHNA VADDERA","Independent",35011,"Andhra Pradesh","Bhongir",0
"NAVULLA MALLA REDDY","Independent",26805,"Andhra Pradesh","Bhongir",0
"None of the Above","None of the Above",10921,"Andhra Pradesh","Bhongir",0
"ARVAPALLY AMBATI","Bahujan Samaj Party",9029,"Andhra Pradesh","Bhongir",0
"RAVULAPALLY KONDAL RAO","Independent",7722,"Andhra Pradesh","Bhongir",0
"BOILLA NARENDER","Republican Party of India",6850,"Andhra Pradesh","Bhongir",0
"KAPILAVAI DILEEP KUMAR","Rashtriya Lok Dal",5552,"Andhra Pradesh","Bhongir",0
"GUAHATI MOTHILAL","All India Majlis-E-Ittehadul Muslimeen",2600,"Andhra Pradesh","Bhongir",0
"GUDURU JANARDHAN REDDY","Jai Samaikyandhra Party",2341,"Andhra Pradesh","Bhongir",0
"NAGULA SRINIVAS YADAV","Mahajana Socialist Party",1859,"Andhra Pradesh","Bhongir",0
"KADIYAM SRIHARI","Telangana Rashtra Samithi",661639,"Andhra Pradesh","Warangal",1
"RAJAIAH SIRICILLA","Indian National Congress",269065,"Andhra Pradesh","Warangal",0
"PARAMESHWAR RAMAGALLA","Bharatiya Janata Party",187139,"Andhra Pradesh","Warangal",0
"None of the Above","None of the Above",14034,"Andhra Pradesh","Warangal",0
"GANNARAPU SURENDER","Bahujan Samaj Party",9536,"Andhra Pradesh","Warangal",0
"CHILUVERU PRATHAP","Independent",9178,"Andhra Pradesh","Warangal",0
"THUPPARI NARASIMHA SWAMY","Pyramid Party of India",7350,"Andhra Pradesh","Warangal",0
"CHINTHA SWAMY","Aam Aadmi Party",5569,"Andhra Pradesh","Warangal",0
"JANNU MAHENDAR","Independent",3211,"Andhra Pradesh","Warangal",0
"VENKANNA KANNAM","Marxist Communist Party of India (United)",2258,"Andhra Pradesh","Warangal",0
"VENKANNA NEERUDU","Bahujan Mukti Party",2098,"Andhra Pradesh","Warangal",0
"KANAKAM RAMESH","Independent",2013,"Andhra Pradesh","Warangal",0
"VENU ESAMPELLY","All India Forward Bloc",1541,"Andhra Pradesh","Warangal",0
"PROF. AZMEERA SEETARAM NAIK","Telangana Rashtra Samithi",320569,"Andhra Pradesh","Mahabubabad",1
"P. BALRAM","Indian National Congress",285577,"Andhra Pradesh","Mahabubabad",0
"BANOTH MOHANLAL","Telugu Desam",215904,"Andhra Pradesh","Mahabubabad",0
"TELLAM VENKATA RAO","Yuvajana Sramika Rythu Congress Party",128465,"Andhra Pradesh","Mahabubabad",0
"PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA)","Independent",94014,"Andhra Pradesh","Mahabubabad",0
"LAXMAN BUKYA","Independent",14026,"Andhra Pradesh","Mahabubabad",0
"V. GOURI NAGAMANI","Independent",13664,"Andhra Pradesh","Mahabubabad",0
"DATLA NAGESHWAR RAO","Independent",6854,"Andhra Pradesh","Mahabubabad",0
"None of the Above","None of the Above",6705,"Andhra Pradesh","Mahabubabad",0
"KAVITHA RANI LUNAVATH","Pyramid Party of India",6627,"Andhra Pradesh","Mahabubabad",0
"BODA RAASI","Bahujan Samaj Party",6224,"Andhra Pradesh","Mahabubabad",0
"LAXMINARAYANA BORRA","Independent",5888,"Andhra Pradesh","Mahabubabad",0
"METLA PAPAIAH","Independent",3922,"Andhra Pradesh","Mahabubabad",0
"GUGULOTU JAGAN","Marxist Communist Party of India (United)",3671,"Andhra Pradesh","Mahabubabad",0
"PADIGA YARRAIAH","Independent",3492,"Andhra Pradesh","Mahabubabad",0
"PONAKA SAMMAKKA","Independent",3475,"Andhra Pradesh","Mahabubabad",0
"BALUNAYAK BHUKYA","Independent",3094,"Andhra Pradesh","Mahabubabad",0
"EESAM SUDHAKAR","Independent",2199,"Andhra Pradesh","Mahabubabad",0
"PONGULETI  SRINIVASA REDDY","Yuvajana Sramika Rythu Congress Party",421957,"Andhra Pradesh","Khammam",1
"NAMA NAGESWARA RAO","Telugu Desam",409983,"Andhra Pradesh","Khammam",0
"KANKANALA NARAYANA","Communist Party of India",187653,"Andhra Pradesh","Khammam",0
"BUDAN BAIG SHAIK","Telangana Rashtra Samithi",89063,"Andhra Pradesh","Khammam",0
"LINGALA RAVI KUMAR","Independent",9454,"Andhra Pradesh","Khammam",0
"GOKINEPALLI VENKATESWARA RAO","Independent",8053,"Andhra Pradesh","Khammam",0
"BACHALA LAXMAIAH","Independent",6494,"Andhra Pradesh","Khammam",0
"MOKALLA RAMESH","Independent",5386,"Andhra Pradesh","Khammam",0
"KAKI BHASKAR","Independent",5354,"Andhra Pradesh","Khammam",0
"NAGARJUNA CHERUKURU","Jai Samaikyandhra Party",4999,"Andhra Pradesh","Khammam",0
"None of the Above","None of the Above",4983,"Andhra Pradesh","Khammam",0
"DODDA RAM BABU","Bahujan Samaj Party",4757,"Andhra Pradesh","Khammam",0
"NAGIREDDY RAJI REDDY","Independent",4480,"Andhra Pradesh","Khammam",0
"MEDARAMETLA  RAMA RAO","Pyramid Party of India",4135,"Andhra Pradesh","Khammam",0
"BANOTH KISHAN NAYAK","Independent",1611,"Andhra Pradesh","Khammam",0
"GUGULOTHU SARVAN","Independent",1488,"Andhra Pradesh","Khammam",0
"GUGULOTHU RANJITH KUMAR","Independent",1432,"Andhra Pradesh","Khammam",0
"BANOTH LAXMA NAIK","Independent",1338,"Andhra Pradesh","Khammam",0
"RAMESH KOMMU","Independent",1267,"Andhra Pradesh","Khammam",0
"MUDIGE NAGESWARA RAO","Independent",1194,"Andhra Pradesh","Khammam",0
"JERRIPOTHULA SRINIVAS","Independent",1116,"Andhra Pradesh","Khammam",0
"KALTHI VENKATESWARLU","Independent",1059,"Andhra Pradesh","Khammam",0
